case_id,cycle_idx,variant,selector_type,bucket,result_source,route,actual_route,configured_L,search_l,recall@10,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,qps,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,cpu_cap_enforced,supports_recall_claim,selection_policy,source_prefix
cycle02_retrain_each_cycle_range_u30,2,retrain_each_cycle,range,u30,original_selected,prefilter,prefilter,250,250,98.59,4263.248824,4219.385,4464.92,4504.824,234.5549,300000.0,396.522,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_range_u50,2,retrain_each_cycle,range,u50,original_selected,prefilter,prefilter,250,250,98.17,6758.293956,6714.158,6955.019,6997.942,147.963023,500000.0,622.306,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_range_u75,2,retrain_each_cycle,range,u75,original_selected,graph,mixed,400,400,98.67,8219.344122,8191.646,8471.977,8712.35,121.661682,750000.0,57.008,0,0,1000,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_range_u100,2,retrain_each_cycle,range,u100,original_selected,graph,mixed,300,300,98.23,6288.811679,6269.332,6512.064,6717.67,159.008589,1000000.0,61.881,0,0,1000,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_no_retrain_across_cycles_intersect_u1e-03,2,no_retrain_across_cycles,intersect,u1e-03,original_selected,prefilter,prefilter,50,50,99.92,152.725193,151.388,165.35,215.64,6544.855989,1000.0,51.636,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_no_retrain_after_insert
cycle02_no_retrain_across_cycles_intersect_u3e-03,2,no_retrain_across_cycles,intersect,u3e-03,original_selected,prefilter,prefilter,75,75,99.79,202.344139,198.563,222.823,275.15,4939.394518,3000.0,63.505,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_no_retrain_after_insert
cycle02_no_retrain_across_cycles_intersect_u1e-02,2,no_retrain_across_cycles,intersect,u1e-02,original_selected,prefilter,prefilter,50,50,99.65,416.435788,410.989,453.214,494.848,2400.572235,10000.0,132.862,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_no_retrain_after_insert
cycle02_no_retrain_across_cycles_intersect_u5e-02,2,no_retrain_across_cycles,intersect,u5e-02,original_selected,prefilter,prefilter,75,75,99.25,1140.435047,1125.232,1209.481,1239.946,876.753245,50000.0,228.466,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_no_retrain_after_insert
cycle02_no_retrain_across_cycles_intersect_u1e-01,2,no_retrain_across_cycles,intersect,u1e-01,original_selected,prefilter,prefilter,50,50,98.58,1794.15541,1743.816,1991.689,2013.26,557.31926,100000.0,265.106,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_no_retrain_after_insert
cycle02_no_retrain_across_cycles_intersect_u25,2,no_retrain_across_cycles,intersect,u25,original_selected,prefilter,prefilter,50,50,98.37,3715.551034,3673.217,3915.955,3952.605,269.124735,250000.0,406.044,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_no_retrain_after_insert
cycle02_no_retrain_across_cycles_intersect_u30,2,no_retrain_across_cycles,intersect,u30,original_selected,prefilter,prefilter,200,200,98.21,4363.908551,4295.764,4537.666,4615.333,229.142005,300000.0,443.549,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_no_retrain_after_insert
cycle02_no_retrain_across_cycles_intersect_u50,2,no_retrain_across_cycles,intersect,u50,original_selected,prefilter,prefilter,300,300,99.02,6868.153984,6843.254,6959.455,7157.527,145.594518,500000.0,627.662,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_no_retrain_after_insert
cycle02_no_retrain_across_cycles_intersect_u75,2,no_retrain_across_cycles,intersect,u75,original_selected,graph,graph,400,400,98.06,8190.217501,8175.474,8454.007,8661.305,122.094613,750000.0,15.008,0,1000,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_no_retrain_after_insert
cycle02_no_retrain_across_cycles_intersect_u100,2,no_retrain_across_cycles,intersect,u100,original_selected,graph,graph,400,400,98.55,8236.250446,8208.789,8533.216,8764.417,121.412091,1000000.0,15.861,0,1000,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_no_retrain_after_insert
cycle02_no_retrain_across_cycles_range_u1e-03,2,no_retrain_across_cycles,range,u1e-03,original_selected,prefilter,prefilter,75,75,99.92,194.185428,198.993,244.862,300.078,5147.467506,1000.0,65.011,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_no_retrain_after_insert
