actual_route,beamwidth,bucket,passes_p95_10ms,passes_primary,route,row_index,search_l,selector_type,serving_configuration,v1_avg_latency_ms,v1_p95_latency_ms,v1_recall@10,v3_avg_latency_ms,v3_bytes_per_4k,v3_mean_n_4k,v3_mean_read_size,v3_p95_latency_ms,v3_recall@10,variant
graph,8,u75,True,True,graph,88,450,intersect,selected route/L/beamwidth,9.555893778,10.009894000000001,98.11,6.291180101,4096.0,526.532,2156675.072,6.61623,98.12,retrain_each_cycle
graph,8,u100,True,True,graph,89,400,intersect,selected route/L/beamwidth,8.445730018,8.628620000000002,98.17,5.626738957,4096.0,470.224,1926037.504,5.964263,98.17,retrain_each_cycle
prefilter,4,u1e-03,True,True,prefilter,90,50,range,selected route/L/beamwidth,0.165187289,0.177643,99.9,0.15552642700000002,4096.0,111.287,455831.552,0.166131,99.9,retrain_each_cycle
prefilter,4,u3e-03,True,True,prefilter,91,100,range,selected route/L/beamwidth,0.227474713,0.246416,99.72,0.21900377199999999,4096.0,115.387,472625.152,0.236387,99.72,retrain_each_cycle
prefilter,4,u1e-02,True,True,prefilter,92,50,range,selected route/L/beamwidth,0.39278173099999997,0.424005,99.67,0.40673679900000004,4096.0,147.923,605892.608,0.437833,99.67,retrain_each_cycle
prefilter,4,u5e-02,True,True,prefilter,93,75,range,selected route/L/beamwidth,1.150348629,1.2181089999999999,99.31,1.171245181,4096.0,185.625,760320.0,1.220323,99.31,retrain_each_cycle
prefilter,4,u1e-01,True,True,prefilter,94,75,range,selected route/L/beamwidth,1.845999605,1.941386,98.66,1.866794816,4096.0,185.1,758169.6,1.947416,98.66,retrain_each_cycle
prefilter,4,u25,True,True,prefilter,95,400,range,selected route/L/beamwidth,4.590825884,4.900294,98.19,4.353944284,4096.0,461.477,1890209.792,4.6004179999999995,98.19,retrain_each_cycle
prefilter,4,u30,True,True,prefilter,96,400,range,selected route/L/beamwidth,5.2812184669999995,5.535781,98.37,4.9847172760000005,4096.0,461.467,1890168.832,5.171205,98.37,retrain_each_cycle
prefilter,4,u50,True,True,prefilter,97,400,range,selected route/L/beamwidth,7.843056777,8.159767,98.46,7.624923186,4096.0,462.557,1894633.472,7.946962999999999,98.46,retrain_each_cycle
mixed,8,u75,True,True,graph,98,450,range,selected route/L/beamwidth,9.318929934,9.894879000000001,98.11,6.353765818,4096.0,526.47,2156421.12,6.761337999999999,98.11,retrain_each_cycle
mixed,8,u100,True,True,graph,99,400,range,selected route/L/beamwidth,8.369030439,9.013423000000001,98.17,5.871455212,4096.0,470.153,1925746.688,8.051237,98.17,retrain_each_cycle
prefilter,4,u1e-03,True,True,prefilter,100,50,intersect,selected route/L/beamwidth,0.19667116899999998,0.218433,99.9,0.202241826,4096.0,113.991,466907.136,0.221419,99.9,no_retrain_across_cycles
prefilter,4,u3e-03,True,True,prefilter,101,100,intersect,selected route/L/beamwidth,0.280445091,0.30993400000000004,99.68,0.306339117,4096.0,117.074,479535.104,0.34750200000000003,99.68,no_retrain_across_cycles
prefilter,4,u1e-02,True,True,prefilter,102,100,intersect,selected route/L/beamwidth,0.576761073,0.630062,99.56,0.571806383,4096.0,147.549,604360.704,0.612405,99.56,no_retrain_across_cycles
prefilter,4,u5e-02,True,True,prefilter,103,50,intersect,selected route/L/beamwidth,1.4419761960000002,1.51207,99.1,1.451948549,4096.0,183.215,750448.64,1.5414459999999999,99.1,no_retrain_across_cycles
prefilter,4,u1e-01,True,True,prefilter,104,150,intersect,selected route/L/beamwidth,2.2702871719999997,2.451406,98.65,2.221743779,4096.0,183.764,752697.344,2.315895,98.65,no_retrain_across_cycles
prefilter,4,u25,True,True,prefilter,105,400,intersect,selected route/L/beamwidth,5.218838316,5.527296000000001,98.61,4.668140945,4096.0,459.51,1882152.96,4.882318000000001,98.61,no_retrain_across_cycles
prefilter,4,u30,True,True,prefilter,106,450,intersect,selected route/L/beamwidth,6.01922444,6.191375,98.92,5.567421427,4096.0,517.931,2121445.376,5.776553,98.92,no_retrain_across_cycles
prefilter,4,u50,True,True,prefilter,107,400,intersect,selected route/L/beamwidth,8.603759241,9.30053,98.67,7.735012007,4096.0,459.811,1883385.856,7.962721999999999,98.67,no_retrain_across_cycles
graph,8,u75,True,True,graph,108,500,intersect,selected route/L/beamwidth,9.938212581,10.258016,98.01,7.491502447,4096.0,587.479,2406313.984,7.486121,98.21,no_retrain_across_cycles
graph,8,u100,True,True,graph,109,450,intersect,selected route/L/beamwidth,9.783134561999999,9.916032,98.24,6.397360249999999,4096.0,531.081,2175307.776,6.798062,98.24,no_retrain_across_cycles
prefilter,4,u1e-03,True,True,prefilter,110,75,range,selected route/L/beamwidth,0.226114012,0.254376,99.9,0.202918362,4096.0,113.991,466907.136,0.222411,99.9,no_retrain_across_cycles
prefilter,4,u3e-03,True,True,prefilter,111,75,range,selected route/L/beamwidth,0.330051736,0.364019,99.64,0.301937916,4096.0,112.338,460136.448,0.328774,99.64,no_retrain_across_cycles
prefilter,4,u1e-02,True,True,prefilter,112,75,range,selected route/L/beamwidth,0.651726602,0.699441,99.56,0.5858334559999999,4096.0,147.549,604360.704,0.640814,99.56,no_retrain_across_cycles
prefilter,4,u5e-02,True,True,prefilter,113,150,range,selected route/L/beamwidth,1.623062853,1.730144,99.1,1.505238996,4096.0,183.215,750448.64,1.607011,99.1,no_retrain_across_cycles
prefilter,4,u1e-01,True,True,prefilter,114,75,range,selected route/L/beamwidth,2.165865626,2.267533,98.65,2.209481053,4096.0,183.764,752697.344,2.2641430000000002,98.65,no_retrain_across_cycles
prefilter,4,u25,True,True,prefilter,115,400,range,selected route/L/beamwidth,5.973982511999999,6.22063,98.61,4.797948394,4096.0,459.51,1882152.96,5.075495,98.61,no_retrain_across_cycles
prefilter,4,u30,True,True,prefilter,116,400,range,selected route/L/beamwidth,6.6554874449999994,6.8563469999999995,98.69,5.333550099,4096.0,460.441,1885966.336,5.495671000000001,98.69,no_retrain_across_cycles
